n,License,lib.licenses,notes
1,EPL | CC BY 4.0 | file LICENSE,epl10 cc-by-40,
1,EPL | file LICENSE,epl10,"Eclipse, not in nixpkgs"
1,EUPL | file LICENSE,uepl12,
1,EUPL-1.1,eupl11,
1,FreeBSD | GPL-2 | file LICENSE,bsd2 gpl2,
1,GNU General Public License (>= 2),gpl2Plus,
1,GNU Lesser General Public License,gpl2,
1,GPL (<= 2),gpl2Plus,
1,GPL (<= 2.0),gpl2Plus,
1,GPL (>= 2) | BSD_2_clause + file LICENSE,gpl2Plus bsd2,
1,GPL (>= 2) | FreeBSD,gpl2Plus bsd2,
1,GPL (>= 2) | LGPL (>= 2),gpl2Plus lgpl2Plus,
1,GPL (>= 2) | LGPL (>= 3),gpl2Plus lgpl3Plus,
1,GPL (>= 2) | LGPL-3,gpl2Plus lgpl3,
1,GPL (>= 2) | MIT + file LICENSE,gpl2Plus mit,
1,GPL (>= 2.0) | file LICENCE,gpl2Plus,
1,GPL (>= 3.0.0),gpl3Plus,check
1,GPL (>= 3.2),gpl3Plus,check
1,GPL (>= 3.3.2),gpl3Plus,check
1,GPL | file LICENSE,gpl3,
1,GPL-2 | Artistic-2.0,gpl2 artistic2,
1,GPL-2 | GPL (>= 2) | GPL-3,gpl2 gpl2Plus gpl3,
1,GPL-2 | GPL-3 | BSD_3_clause + file LICENSE,gpl2 gpl3 bsd3,
1,GPL-2 | LGPL-2.1 | MPL-1.1,gpl2 lgpl21 mpl11,
1,GPL-2 | MIT + file LICENCE,gpl2 mit,
1,GPL-2 | MIT + file LICENSE,gpl2 mit,
1,GPL-3 + file LICENCE,gpl3,
1,GPL-3 | BSD_2_clause + file LICENSE,gpl3 bsd2,
1,GPL-3 | GPL-2,gpl2 gpl3,
1,GPL-3 | LGPL-2.1,gpl3 lgpl21,
1,GPL-3 | file LICENCE,gpl3,
1,LGPL (>= 2) | file LICENSE,lgpl2Plus,
1,"LGPL (>= 2.0, < 3) | Mozilla Public License",lgpl2Plus,
1,LGPL (>= 2.1) | file LICENSE,lgpl21Plus,
1,LGPL-2 | Apache License 2.0,lgpl2 asl20,
1,LGPL-2.1 | MIT + file LICENSE,lgpl21 mit,
1,Lucent Public License,lpl-102,
1,MIT + file LICENSE | Unlimited,mit,
1,MIT License,mit,
1,MIT | file LICENSE,mit,
1,MPL,mpl20,
1,MPL (>= 2),mpl20,
1,MPL (>= 2) | GPL (>= 2) | file LICENSE,mpl20 gpl2Plus,
1,MPL (>= 2) | file LICENSE,mpl20,
1,MPL-1.1,mpl11,
1,Mozilla Public License 1.1,mpl11,
1,Mozilla Public License Version 2.0,mpl20,
1,file LICENCE,NA,
